environment,ping_bin,data_size_pub,n,mean_manual,mean_rec,p95_manual,p95_rec,mean_imp_pct
cpk,HIGH(>=150ms),512.0,1,0.5606148613151163,0.2744565464090556,0.5606148613151163,0.2744565464090556,51.04365486044684
cpk,HIGH(>=150ms),9024.0,1,0.2750283021014184,0.2708267045672983,0.2750283021014184,0.2708267045672983,1.527696423246913
cpk,HIGH(>=150ms),65536.0,1,1.3842609499115497,1.376939730718732,1.3842609499115497,1.376939730718732,0.5288901050979867
lpk,HIGH(>=150ms),512.0,1,0.4977783707436174,0.3079116769367829,0.4977783707436174,0.3079116769367829,38.14281715840684
lpk,HIGH(>=150ms),2048.0,1,0.1848896198207512,0.1662509099114686,0.1848896198207512,0.1662509099114686,10.080993150049558
lpk,HIGH(>=150ms),9024.0,1,0.4367954620392992,0.4080781980883329,0.4367954620392992,0.4080781980883329,6.574533493752862
lpk,HIGH(>=150ms),16384.0,1,0.7636584660504013,0.6943781028967351,0.7636584660504013,0.6943781028967351,9.07216592673691
lpk,HIGH(>=150ms),65536.0,1,2.254993500886485,1.7299690613290295,2.254993500886485,1.7299690613290295,23.282747349429496
lpk,LOW(<=50ms),512.0,1,0.0200488419504835,0.0168987972429022,0.0200488419504835,0.0168987972429022,15.711853658985694
lpk,LOW(<=50ms),2048.0,1,0.0554553307592868,0.0292092274175956,0.0554553307592868,0.0292092274175956,47.3283685848288
lpk,LOW(<=50ms),9024.0,1,0.1342225413536652,0.1176221440546214,0.1342225413536652,0.1176221440546214,12.367816263665537
lpk,LOW(<=50ms),16384.0,1,0.4088792315451428,0.2268744858447461,0.4088792315451428,0.2268744858447461,44.513081530848616
lpk,LOW(<=50ms),65536.0,1,0.9171657190890984,0.8591566683026031,0.9171657190890984,0.8591566683026031,6.324816723864056
lpk,MID(50-150ms),512.0,1,0.0868545406265183,0.0744200953049584,0.0868545406265183,0.0744200953049584,14.316402149922187
lpk,MID(50-150ms),2048.0,1,0.1315227271988987,0.0755648831836879,0.1315227271988987,0.0755648831836879,42.54614028082545
lpk,MID(50-150ms),9024.0,1,0.2971811554161832,0.1948116344865411,0.2971811554161832,0.1948116344865411,34.44684128314937
lpk,MID(50-150ms),16384.0,1,0.4791961526498198,0.4026362088043242,0.4791961526498198,0.4026362088043242,15.976744266860376
lpk,MID(50-150ms),65536.0,1,1.2306638170266524,1.1097555664600804,1.2306638170266524,1.1097555664600804,9.824636825570492
lrk,HIGH(>=150ms),512.0,1,2.113930414430797,1.6400979356840253,2.113930414430797,1.6400979356840253,22.4147623550966
lrk,HIGH(>=150ms),1638.0,1,0.2860477631911635,0.2860477631911635,0.2860477631911635,0.2860477631911635,0.0
lrk,HIGH(>=150ms),2048.0,1,1.2167543610557914,0.8043439174070954,1.2167543610557914,0.8043439174070954,33.894305773504094
lrk,HIGH(>=150ms),9024.0,1,0.9372737063094974,0.6410181205719709,0.9372737063094974,0.6410181205719709,31.608225403444724
lrk,HIGH(>=150ms),65336.0,1,5.931754762306809,3.819312937557697,5.931754762306809,3.819312937557697,35.612426834847795
lrk,LOW(<=50ms),512.0,1,0.5353571176528931,0.0240493547171354,0.5353571176528931,0.0240493547171354,95.5077921028542
lrk,LOW(<=50ms),1638.0,1,0.0370462341234087,0.0314712719991802,0.0370462341234087,0.0314712719991802,15.048660831913823
lrk,LOW(<=50ms),2048.0,1,0.0817005336284637,0.0349678378552198,0.0817005336284637,0.0349678378552198,57.1999884183898
lrk,LOW(<=50ms),9024.0,1,0.1717543127015232,0.1467516049742698,0.1717543127015232,0.1467516049742698,14.557251770849797
lrk,LOW(<=50ms),65336.0,1,1.5152174942195415,1.1626274567097423,1.5152174942195415,1.1626274567097423,23.26992915900904
lrk,MID(50-150ms),512.0,1,0.7849954972043633,0.5691086165606976,0.7849954972043633,0.5691086165606976,27.501671208626366
lrk,MID(50-150ms),1638.0,1,0.0866150883957743,0.0658862823620438,0.0866150883957743,0.0658862823620438,23.932095917299545
lrk,MID(50-150ms),2048.0,1,0.4673098251223564,0.0770239122211933,0.4673098251223564,0.0770239122211933,83.51759195282786
lrk,MID(50-150ms),9024.0,1,0.3108418043702841,0.2501424327492714,0.3108418043702841,0.2501424327492714,19.527415800451916
lrk,MID(50-150ms),65336.0,1,1.670430164784193,1.670430164784193,1.670430164784193,1.670430164784193,0.0
