encryption_type,compress_method,hash_mode,count
aes-gcm,bz2,hash,150
aes-gcm,bz2,none,150
aes-gcm,lzma,hash,150
aes-gcm,lzma,none,150
ascon,none,hash,150
ascon,lzma,none,150
ascon,none,none,150
ascon,bz2,hash,150
ascon,lzma,hash,150
ascon,lz4,none,150
ascon,lz4,hash,150
ascon,gzip,hash,150
chacha20-poly1305,lz4,hash,150
chacha20-poly1305,bz2,none,150
none,lzma,none,150
none,lzma,hash,150
none,bz2,none,150
none,bz2,hash,150
chacha20-poly1305,lzma,none,150
chacha20-poly1305,lzma,hash,150
