Scenario,environment,pub_ping,data_size_pub,baseline_id,encryption_type,compress_method,hash_mode,notes
S01,lrk,0.017554,512.0,AUTO-REC,ascon,gzip,hash,
S02,lrk,0.017554,1638.0,AUTO-REC,none,gzip,none,
S03,lrk,0.017554,2048.0,AUTO-REC,aes-gcm,zlib,none,
S04,lrk,0.017554,9024.0,AUTO-REC,none,zlib,none,
S05,lrk,0.017554,65336.0,AUTO-REC,chacha20-poly1305,zlib,none,
S06,lrk,0.061754,512.0,AUTO-REC,none,none,none,
S07,lrk,0.061754,1638.0,AUTO-REC,none,zlib,hash,
S08,lrk,0.061754,2048.0,AUTO-REC,none,none,none,
S09,lrk,0.061754,9024.0,AUTO-REC,none,none,none,
S10,lrk,0.061754,65336.0,AUTO-REC,aes-gcm,bz2,hash,
S11,lrk,0.264993,512.0,AUTO-REC,none,lzma,none,
S12,lrk,0.264993,1638.0,AUTO-REC,aes-gcm,bz2,hash,
S13,lrk,0.264993,2048.0,AUTO-REC,aes-gcm,lzma,none,
S14,lrk,0.264993,9024.0,AUTO-REC,none,lzma,none,
S15,lrk,0.264993,65336.0,AUTO-REC,chacha20-poly1305,gzip,hash,
